InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
1,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,3,6,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,4,2,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,119
1,4,5,0,0,0,0,0,0,1,0,5,0,5,0,0,119
1,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,5,4,0,0,0,0,0,0,1,0,2,0,2,0,0,119
1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,6,2,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,6,4,0,0,0,0,0,0,1,0,6,0,6,0,0,119
1,6,5,0,0,0,0,1,0,1,0,0,0,0,0,1,119
1,6,6,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,7,3,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,7,4,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,7,6,0,0,0,0,0,0,0,0,4,0,4,0,0,119
1,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,8,2,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,8,4,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,8,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,8,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119
1,9,2,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,9,4,0,0,0,0,0,0,0,0,1,0,1,0,0,119
